,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Select,Move,Attack,Cast,Loot,UseObj,Steal,Follow,UsePot,ChPos,NoWay,CntChPos,NoPath,CantCast,CantTele,SkiFail,NoTarget,ComplSp,DecToAtt,OutStam,ArmCrip,LegCrip,Bored,Unknown,Overload,Injured,BigAtt,ArmorCrip,WearCrip,AttInDef,WaitFoll,Scenario,StealEmp,ShopYes,ShopNo
,FLD1-0,FLD10-0,FLD11-0,FLD12-0,FLD13-0,FLD14-0,FLD15-0,FLD16-0,FLD17-0,FLD18-0,FLD19-0,FLD20-0,FLD21-0,FLD22-0,FLD23-0,FLD24-0,FLD25-0,FLD26-0,FLD27-0,FLD28-0,FLD29-0,FLD30-0,FLD31-0,FLD32-0,FLD33-0,FLD34-0,FLD35-0,FLD36-0,FLD37-0,FLD38-0,FLD39-0,FLD40-0,FLD41-0,FLD42-0,FLD43-0,FLD44-0
,Cyclope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1=Acks\Cyclope\Scenario\Cyclope.wav##2=100##3=Свинки мои... Умерли... Не уберег я вас! Пойду новых искать...##4=s6},,,
,Demon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1=Acks\Demon\Scenario\Demon.wav##2=100##3=Ты решил заступиться за орков, дикарь? Готовься к смерти!##4=s9}",,,
,Dier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1=Acks\Dier\Scenario\Dier.wav##2=100##3=Я ведь предупреждала : не стоит искать Принцессу! Это плохо кончается…##4=s26},,,
,DrGuardian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1=Acks\DrGuard\Scenario\DrGuard.wav##2=100##3=Человек, ты спас Зеленый Клан от позора. Возьми этот цветок и отдай его вождю…##4=s23}",,,
,Elder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1=Acks\Elder\Scenario\Elder.wav##2=100##3=Где же мои люди? Эй, бездельники, скорей сюда! На помощь!!!##4=s50}",,,
,GTDragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1=Acks\GTDragon\Scenario\GTDragon.wav##2=100##3=Что это со мной? Почему я хочу... Нет, я должен лететь за этим человеком!##4=s3}",,,
,Haburu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1=Acks\Haburu\Scenario\Haburu24.wav##2=100##3=Освободи меня, человек! Отопри клетку!##4=s24}{1=Acks\Haburu\Scenario\Haburu25.wav##2=100##3=Я и мой клан всегда будем благодарны тебе, человек! А теперь я должен скрыться как можно скорее….##4=s25}",,,
,HadExpW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1=Acks\HadExpW\Scenario\HadExpW.wav##2=100##3=О, здесь туземец! Все сюда! Хватайте дикаря живьем!##4=s7}",,,
,Human Hadagan Pretty,,"{1=Acks\HHP\Move\1.wav##2=30##3=О,да!##4=HHP_Move001}{1=Acks\HHP\Move\2.wav##2=30##3=Слушаюсь.##4=HHP_Move002}{1=Acks\HHP\Move\3.wav##2=30##3=Повинуюсь.##4=HHP_Move003}{1=Acks\HHP\Move\4.wav##2=30##3=Уже иду!##4=HHP_Move004}",{1=Acks\HHP\Attack\5.wav##2=20##3=Я за все отомщу!##4=HHP_Attack005}{1=Acks\HHP\Attack\6.wav##2=20##3=Берегись!##4=HHP_Attack006}{1=Acks\HHP\Attack\7.wav##2=20##3=Ненавижу!##4=HHP_Attack007},"{1=Acks\HHP\Cast\8.wav##2=30##3=Я попытаюсь…##4=HHP_Cast008}{1=Acks\HHP\Cast\9.wav##2=30##3=Я могу попробовать.##4=HHP_Cast009}{1=Acks\HHP\Cast\10.wav##2=30##3=Ну, я не уверена…##4=HHP_Cast010}","{1=Acks\HHP\Loot\11.wav##2=30##3=Какая гадость!##4=HHP_Loot011}{1=Acks\HHP\Loot\12.wav##2=30##3=А может, не надо?##4=HHP_Loot012}{1=Acks\HHP\Loot\13.wav##2=30##3=Как неприятно!##4=HHP_Loot013}",{1=Acks\HHP\UseObj\14.wav##2=50##3=Повинуюсь…##4=HHP_UseObj014}{1=Acks\HHP\UseObj\15.wav##2=50##3=Я попробую…##4=HHP_UseObj015}{1=Acks\HHP\UseObj\16.wav##2=20##3=У меня не получится.##4=HHP_UseObj016},"{1=Acks\HHP\Steal\17.wav##2=50##3=Ой, как страшно…##4=HHP_Steal017}{1=Acks\HHP\Steal\18.wav##2=50##3=Я боюсь!##4=HHP_Steal018}{1=Acks\HHP\Steal\19.wav##2=50##3=Только бы не заметили!##4=HHP_Steal019}","{1=Acks\HHP\Follow\20.wav##2=50##3=Повинуюсь.##4=HHP_Follow020}{1=Acks\HHP\Follow\21.wav##2=50##3=Как прикажешь…##4=HHP_Follow021}{1=Acks\HHP\Follow\22.wav##2=50##3=О да, господин.##4=HHP_Follow022}",{1=Acks\HHP\UsePot\23.wav##2=60##3=Какая гадость!##4=HHP_UsePot023}{1=Acks\HHP\UsePot\24.wav##2=60##3=Это невозможно пить!##4=HHP_UsePot024}{1=Acks\HHP\UsePot\25.wav##2=60##3=Это же не пьют!##4=HHP_UsePot025},{1=Acks\HHP\ChPos\26.wav##2=50##3=Да.##4=HHP_ChPos026}{1=Acks\HHP\ChPos\27.wav##2=50##3=Повинуюсь.##4=HHP_ChPos027},"{1=Acks\HHP\NoWayAtt\29.wav##2=100##3=Ага! Боишься!##4=HHP_NoWayAtt029}{1=Acks\HHP\NoWayAtt\30.wav##2=100##3=Ой, я не могу…##4=HHP_NoWayAtt030}{1=Acks\HHP\NoWayAtt\31.wav##2=100##3=Боюсь, у меня не получится.##4=HHP_NoWayAtt031}","{1=Acks\HHP\CntChPos\32.wav##2=100##3=Как можно?##4=HHP_CntChPos032}{1=Acks\HHP\CntChPos\33.wav##2=100##3=О, нет!##4=HHP_CntChPos033}{1=Acks\HHP\CntChPos\34.wav##2=100##3=Это невозможно.##4=HHP_CntChPos034}","{1=Acks\HHP\NoPath\35.wav##2=50##3=Боюсь, я не смогу пройти.##4=HHP_NoPath035}{1=Acks\HHP\NoPath\36.wav##2=50##3=Я не вижу, как туда пройти.##4=HHP_NoPath036}{1=Acks\HHP\NoPath\37.wav##2=50##3=Не понимаю, где дорога?##4=HHP_NoPath037}{1=Acks\HHP\NoPath\38.wav##2=50##3=Сожалею, но туда нет пути.##4=HHP_NoPath038}","{1=Acks\HHP\CantCast\39.wav##2=50##3=Ах, нет, я до смерти устала!##4=HHP_CantCast039}{1=Acks\HHP\CantCast\40.wav##2=50##3=Я больше ничего не могу…##4=HHP_CantCast040}",{1=Acks\HHP\CantTele\41.wav##2=100##3=Это безумие!##4=HHP_CantTele041}{1=Acks\HHP\CantTele\42.wav##2=100##3=Ни за что!##4=HHP_CantTele042},"{1=Acks\HHP\SciFail\43.wav##2=100##3=Ах, я не сумела!##4=HHP_SciFail043}","{1=Acks\HHP\NoTarget\44.wav##2=30##3=Мы еще встретимся! ##4=HHP_NoTarget044}{1=Acks\HHP\NoTarget\45.wav##2=30##3=Я тебя запомню!##4=HHP_NoTarget045}{1=Acks\HHP\NoTarget\46.wav##2=30##3=Ну, только вернись!##4=HHP_NoTarget046}","{1=Acks\HHP\ComplSp\47.wav##2=100##3=Нет-нет, я не смогу!##4=HHP_ComplSp047}","{1=Acks\HHP\DecToAtt\50.wav##2=30##3=Я не боюсь!##4=}{1=Acks\HHP\DecToAtt\51.wav##2=30##3=Я сама тебя убью!##4=}{1=Acks\HHP\DecToAtt\52.wav##2=30##3=Берегись, ничтожество!##4=}","{1=Acks\HHP\OutStam\53.wav##2=100##3=Ах, я так устала!##4=HHP_OutStam053}{1=Acks\HHP\OutStam\54.wav##2=100##3=Не могу, сейчас сердце разорвется!##4=HHP_OutStam054}{1=Acks\HHP\OutStam\55.wav##2=100##3=Ой, не могу больше!##4=HHP_OutStam055}","{1=Acks\HHP\ArmCrip\56.wav##2=100##3=Моя рука! Меня убили!##4=HHP_ArmCrip056}{1=Acks\HHP\ArmCrip\57.wav##2=100##3=Ах, руку отрубили!##4=HHP_ArmCrip057}","{1=Acks\HHP\LegCrip\58.wav##2=100##3=Моя нога! Мне больно!##4=HHP_LegCrip058}{1=Acks\HHP\LegCrip\59.wav##2=100##3=Ах, моя нога!##4=HHP_LegCrip059}","{1=Acks\HHP\Bored\65.wav##2=30##3=Ой, как мне страшно-то!##4=HHP_Bored065##10=16335}{1=Acks\HHP\Bored\66.wav##2=30##3=Отомщу я этому проклятому, клянусь предками!##4=HHP_Bored066##10=16335}{1=Acks\HHP\Bored\67.wav##2=30##3=Я все выдержу ради мести!##4=HHP_Bored067##10=16335}{1=Acks\HHP\Bored\68.wav##2=30##3=О, как я буду смеяться над телом того ничтожного!##4=HHP_Bored068##10=16335}{1=Acks\HHP\Bored\69.wav##2=0##3=О, небеса, дайте мне силы!##4=HHP_Bored069##10=16335}",,{1=Acks\HHP\Overload\48.wav##2=50##3=Я и так еле на ногах стою!##4=HHP_Overload048},"{1=Acks\HHP\Injured\49.wav##2=100##3=О, небеса! Я же без ноги осталась!##4=HHP_Injured049}",{1=Acks\HHP\BigAtt\28.wav##2=100##3=Что я делаю?!##4=HHP_BigAtt028},{1=Acks\HHP\ArmorCri\62.wav##2=100##3=Мой доспех! Я погибла!##4=HHP_ArmorCri062},{1=Acks\HHP\WeapCrip\63.wav##2=100##3=Ах! Мое оружие!##4=HHP_WeapCrip063},{1=Acks\HHP\AttInDef\60.wav##2=0##3=Не смей обижать девушку!##4=HHP_AttInDef060},"{1=Acks\HHP\WaitFoll\61.wav##2=100##3=Скорее же, скорее!##4=HHP_WaitFoll061}","{1=Acks\Nalo\Scenario\Nalo.wav##2=100##3=Я иду за ключом, юноша. Жди меня!##4=s40}","{1=Acks\HHP\StealEmp\64.wav##2=100##3=Ах, я не сумела!##4=HHP_StealEmp064}{1=Acks\HHP\StealEmp\64.wav##2=100##3=Ах, я не сумела!##4=HHP_StealEmp064}",{1=Acks\HHP\ShopYes\72.wav##2=30##3=Хорошо…##4=HHP_ShopYes072},{1=Acks\HHP\ShopNo\73.wav##2=70##3=Я так не смогу!##4=HHP_ShopNo073}
