,,,,,,,,
,Terrain Type,Clear Weather Opacity,Clear Weather Lifetime,Clear Weather Fadeout,Weather Precipitation Opacity,Weather Precipitation Lifetime,Weather Precipitation Fadeout,Unk3-3
,FLD1-0,FLD2-1,FLD2-2,FLD2-3,FLD3-1,FLD3-2,FLD3-2,FLD3-3
,grass,0.6,600,150,0.5,300,300,225
,ground,0.5,600,150,0.4,300,300,225
,stone,0.5,750,150,0.4,300,300,225
,sand,0.5,450,300,0.4,225,225,150
,rock,0.5,600,150,0.4,300,300,225
,field,0.5,600,150,0.4,300,300,225
,water,0,0,0,0,0,0,0
,road,0.5,600,150,0.4,300,300,225
,,0,0,0,0,0,0,0
,snow,0.5,900,150,0.4,225,225,150
,ice,0.5,900,150,0.4,225,225,150
,drygrass,0.5,600,150,0.4,300,300,225
,snowballs,0.5,900,150,0.4,225,225,150
,lava,0,0,0,0,0,0,0
,swamp,0,0,0,0,0,0,0
,highrock,0.5,750,150,0.4,300,300,225
