,,,,,,,,,,,
,Terrain Type,Clear Weather Opacity,Clear Weather Lifetime,Clear Weather Fadeout,Weather Precipitation Opacity,Weather Precipitation Lifetime,Weather Precipitation Fadeout,Unknown Opacity,Unknown Lifetime,Unknown Fadeout,Unk3-3
,FLD1-0,FLD2-1,FLD2-2,FLD2-3,FLD3-1,FLD3-2,FLD3-2,FLD10-1,FLD10-2,FLD10-3,FLD3-3
,grass,0.35,1050.0,150.0,0.3,150.0,150.0,1.0,900.0,15.0,120.0
,ground,0.4,600.0,150.0,0.3,150.0,150.0,1.0,900.0,15.0,120.0
,stone,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900.0,15.0,0.0
,sand,0.4,450.0,150.0,0.3,150.0,150.0,1.0,900.0,15.0,120.0
,rock,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900.0,15.0,0.0
,field,0.5,450.0,150.0,0.4,150.0,150.0,1.0,900.0,15.0,120.0
,water,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900.0,15.0,0.0
,road,0.3,300.0,150.0,0.3,75.0,75.0,1.0,900.0,15.0,60.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,snow,0.4,1050.0,150.0,0.4,150.0,150.0,1.0,900.0,15.0,120.0
,ice,0.3,450.0,150.0,0.3,150.0,150.0,1.0,900.0,15.0,120.0
,drygrass,0.5,1050.0,150.0,0.4,150.0,150.0,1.0,900.0,15.0,120.0
,snowballs,0.4,1050.0,150.0,0.3,150.0,150.0,1.0,900.0,15.0,120.0
,lava,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900.0,15.0,0.0
,swamp,0.35,300.0,150.0,0.3,75.0,75.0,1.0,900.0,15.0,60.0
,highrock,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900.0,15.0,0.0
