,,,,,,,,,,,
,Name,Place1-1,Place1-2,Place2-1,Place2-2,Unk2-0,Scale,Switch Time,Material,Switch Sound,Lever Text
,FLD0-0,FLD1-0,FLD1-1,FLD1-2,FLD1-3,FLD2-0,FLD3-0,FLD4-0,FLD5-0,FLD6-0,FLD7-0
,stbr9,1.74468e-39,0.1,nan,1.74458e-39,1.0,1.0,22.0,Stone,Tools\BridgeW.wav,OrcDrawBridge00         Деревянный разводной мост
,stbr10,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,7.0,Stone,Tools\WoodR.wav,DrawBridgeGear00        Деревянный рычаг
,stbr14,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,22.0,Stone,Tools\BridgeW.wav,dambaBridge00           Большая деревянная подъемная заслонка
,stbr17,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,22.0,Stone,Tools\BridgeS.wav,flyerBridge00           Металлический подъемный мост
,stbuho12,-1.0,1.0,1.0,-1.0,2.0,2.0,22.0,Stone,Tools\Melnik.wav,bigMachine00            Ломающаяся деревянная мельница
,stbuho15,1.0,5.0,-1.0,5.0,2.0,2.0,10.0,Stone,Tools\Gate.wav,driadPrison00           Подьем металлической решетки
,stbuho48,0.0,3.5,0.0,2.0,2.0,2.0,10.0,Stone,Tools\Gate.wav,vivary00                Опускание металлической решетки
,stbuho57,0.0,2.5,nan,1.74458e-39,1.0,2.0,10.0,Stone,Tools\Gate.wav,hadoganPrison00         Опускание металлической решетки
,stbuho64,0.0,8.0,-1.0,7.5,2.0,2.0,10.0,Stone,Tools\Gate.wav,whiteTigerGate00        Подьем металлической решетки
,stga2,0.0,-1.0,nan,1.74458e-39,1.0,4.0,30.0,Stone,Tools\StoneG.wav,DgunGate00              Опускание каменной плиты
,stga4,0.0,2.2,0.0,-2.2,2.0,3.0,30.0,Stone,Tools\StoneG.wav,dgunGate01              Опускание каменной плиты
,stga5,0.0,1.0,0.0,-1.0,2.0,2.0,22.0,Stone,Tools\BridgeW.wav,farmGate00              Раздвигание деревянных жердей
,stga6,0.0,1.1,0.0,-0.2,2.0,2.0,22.0,Stone,Tools\Door.wav,hadoganGates00          Открывание деревянных ворот
,stga8,0.0,1.0,nan,1.74458e-39,1.0,2.0,22.0,Stone,Tools\Door.wav,hadoganCaveDoor00       Открывание деревянных ворот
,stsi3,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,15.0,Stone,Tools\On_off.wav,Level00                 Опускание каменного столба
,stst27,0.0,0.6,-1.0,0.0,2.0,4.0,19.0,Stone,Tools\Stone.wav,Crypt00                 Сдвиг каменной плиты
,stst32,0.6,0.8,nan,1.74458e-39,1.0,2.0,10.0,Stone,Tools\Gate.wav,LizardCage00            Открывание металлической клетки
,stst33,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,22.0,Stone,Tools\Wood.wav,GoblinCage00            Поворот бревна
,stst34,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,15.0,Stone,Tools\On_off.wav,Altar00                 Опускание каменного столба
,stst38,0.0,0.7,0.0,-0.7,2.0,3.0,10.0,Stone,Tools\Gate.wav,bars00                  Подьем металлической решетки
,stst43,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,10.0,Stone,Tools\BoxW.wav,chest00                 Открывание деревянного сундука
,stst47,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,19.0,Stone,Tools\Stone.wav,grave00                 Сдвиг каменной плиты
