,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Type,Code,ID,Price,Weight,Mana,Slots,Durability,Skill,Damage,A.Piercing,A.Slashing,A.Bludg.,A.Termal,A.Chemic,A.Electric,A.General,Unk12-0,Shop 1,Shop 2,Shop 3,Shop 4,Shop 5
,FLD0-0,FLD1-0,FLD2-0,FLD3-0,FLD4-0,FLD5-0,FLD6-0,FLD7-0,FLD8-0,FLD9-0,FLD10-0,FLD11-0,FLD11-1,FLD11-2,FLD11-3,FLD11-4,FLD11-5,FLD11-6,FLD12-0,FLD13-0,FLD13-1,FLD13-2,FLD13-3,FLD13-4
,thin,Leather,le,0,8,2,6,2,3.5,2,3.5,3.47851,3.47851,3.47851,3.47851,3.47851,3.47851,3.47851,0,1,0,0,0,0
,thick,Leather,lt,1,40,2,12,4,3.8,4,3.8,3.82636,3.82636,3.82636,3.82636,3.82636,3.82636,3.82636,0,1,0,0,0,0
,tanned thin,Leather,bl,2,130,2,18,6,4.2,6,4.2,5.26124,4.20899,5.05079,4.20899,4.20899,4.20899,4.20899,0,0,0,0,0,0
,troll green,Hide,tg,3,260,2,21,7,4.4,7,4.4,6.62164,4.41443,4.41443,4.41443,4.41443,4.41443,4.41443,0,0,0,1,0,0
,troll blue,Hide,tb,4,1100,2,27,9,4.9,9,4.9,7.2838,4.85587,4.85587,4.85587,4.85587,4.85587,4.85587,0,0,0,0,0,0
,troll black,Hide,tk,5,5000,2,33,11,5.3,11,5.3,8.01219,5.34146,5.34146,5.34146,5.34146,4.27317,5.34146,0,0,0,0,0,0
,dragon red,Hide,dr,6,9000,2,36,12,5.6,12,5.6,8.40326,5.60217,5.60217,11.2043,5.60217,5.60217,5.60217,0,0,0,0,1,0
,dragon green,Hide,dg,7,40000,2,42,14,6.2,14,6.2,9.24357,6.16238,6.16238,6.16238,12.3248,6.16238,6.16238,0,0,0,0,0,0
,dragon black,Hide,db,8,140000,2,48,16,6.8,16,6.8,10.1679,6.77862,6.77862,6.77862,6.77862,13.5572,6.77862,0,0,0,0,0,0
,tiger hide,Fur,uq,9,16,1,9,3,3.6,3,3.6,3.64829,3.64829,4.56036,3.64829,3.64829,3.64829,3.64829,0,0,0,0,0,0
,decayed bones,Bone,bn,10,8,1,6,2,3.5,2,3.5,3.47851,3.47851,3.47851,3.47851,3.47851,3.47851,3.47851,0,1,0,0,0,0
,dry bones,Bone,bd,11,40,1,12,4,3.8,4,3.8,3.82636,3.82636,3.82636,3.82636,3.82636,3.82636,3.82636,0,1,0,0,0,0
,burned bones,Bone,bb,12,70,1,15,5,4,5,4,4.01312,4.01312,4.01312,4.01312,4.01312,4.01312,4.01312,0,0,0,0,0,0
,scrab bones,Bone,bs,13,130,1,18,6,4.2,6,4.2,4.20899,4.20899,4.20899,4.20899,4.20899,4.20899,4.20899,0,0,0,0,0,0
,dragon red bones,Bone,br,14,260,1,21,7,4.4,7,4.4,4.41443,4.41443,4.41443,4.41443,4.41443,4.41443,4.41443,0,0,0,0,0,0
,dragon green bones,Bone,bg,15,1100,1,27,9,4.9,9,4.9,4.85587,4.85587,4.85587,4.85587,4.85587,4.85587,4.85587,0,0,0,0,0,0
,dragon black bones,Bone,bc,16,5000,1,33,11,5.3,11,5.3,5.34146,5.34146,5.34146,5.34146,5.34146,5.34146,5.34146,0,0,0,0,0,0
,rock,Stone,rc,17,4,4,3,1,3.3,1,3.3,3.31662,3.31662,2.6533,3.31662,3.31662,3.31662,3.31662,0,1,0,0,0,0
,granite,Stone,gr,18,16,4,9,3,3.6,3,3.6,3.64829,3.64829,2.91863,3.64829,3.64829,3.64829,3.64829,0,1,0,0,0,0
,silicon,Stone,sl,19,40,4,12,4,3.8,4,3.8,3.82636,3.82636,3.06108,3.82636,3.82636,3.82636,3.82636,0,0,0,0,0,0
,malachite,Stone,ob,20,130,4,18,6,4.2,6,4.2,4.20899,4.20899,3.36719,4.20899,4.20899,4.20899,4.20899,0,0,0,0,0,0
,bronze,Metal,br,21,260,6,21,7,4.4,7,4.4,4.41443,4.41443,4.41443,4.41443,4.41443,3.53154,4.41443,0,0,0,1,0,0
,iron,Metal,ir,22,1100,5,27,9,4.9,9,4.9,4.85587,4.85587,4.85587,4.85587,4.85587,3.8847,4.85587,0,0,0,1,0,0
,steel,Metal,st,23,5000,5,33,11,5.3,11,5.3,5.34146,5.34146,5.34146,5.34146,5.34146,4.27317,5.34146,0,0,0,0,0,0
,mithrill,Metal,mt,24,9000,3,36,12,5.6,12,5.6,5.60217,5.60217,5.60217,5.60217,5.60217,4.48173,5.60217,0,0,0,0,1,0
,adamantium,Metal,ad,25,40000,5,42,14,6.2,14,6.2,6.16238,6.16238,6.16238,6.16238,6.16238,4.92991,6.16238,0,0,0,0,1,0
,meteoric,Metal,mr,26,140000,4,48,16,6.8,16,6.8,6.77862,6.77862,6.77862,6.77862,6.77862,5.4229,6.77862,0,0,0,0,0,0
