,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Base Race,Unk2-0,Graphics Data Skin Index,Graphics Data Hair,Graphics Data Complection X,Graphics Data Complection Y,Graphics Data Complection Z,Unk8-0,Stats Health,Stats Mana,Stats Absorbtion,Tuning Actions,Tuning Move,Attack Range,Stats To Hit,Stats Parry,Tuning Weapon Weight,Attack Weapon Type Id,Stats Danage Nub,Stats Damage Max,Skills General,Skills Steal,Skills Tame,Skills Peripheral,Senses Sight,Senses Infra,Senses SenseLife,Senses Hearing,Senses Smell,Senses Tracking,Detections Sight,Detections Infra,Detections SenseLife,Detections Hearing,Detections Smell,Detections Tracking,Common loot Probability,Common loot Mask,Common loot Min,Common loot Max,Rare loot Probability,Rare loot Mask,Rare loot Min,Rare loot Max,Items,Skills Elemental,Skills Senses,Skills Astral,Spells,Equipment Wears,Equipment Weapon №1,Graphics Data Info Window Scale,Graphics Data Altitude,Tuning To hit Random,Graphics Data Dialog Camera Distance,Graphics Data Dialog Camera,Graphics Data Dialog Camera Height,Attack Real Weapon Type Id,Graphics Data Detonation,Base Level,Equipment Weapon №2,Stats Exp
,FLD0-0,FLD1-0,FLD2-0,FLD3-0,FLD4-0,FLD5-0,FLD6-0,FLD7-0,FLD8-0,FLD9-0,FLD10-0,FLD11-0,FLD12-0,FLD13-0,FLD14-0,FLD15-0,FLD16-0,FLD17-0,FLD18-0,FLD19-0,FLD20-0,FLD21-0,FLD22-0,FLD23-0,FLD24-0,FLD25-0,FLD25-1,FLD25-2,FLD25-3,FLD25-4,FLD25-5,FLD26-0,FLD26-1,FLD26-2,FLD26-3,FLD26-4,FLD26-5,FLD27-0,FLD27-1,FLD27-2,FLD27-3,FLD28-0,FLD28-1,FLD28-2,FLD28-3,FLD29-0,FLD30-0,FLD30-1,FLD30-2,FLD31-0,FLD32-0,FLD33-0,FLD34-0,FLD35-0,FLD36-0,FLD37-0,FLD38-0,FLD38-0,FLD39-0,FLD40-0,FLD41-0,FLD42-0,FLD43-0
,Human Hero,Human Male,0,0,1,0.35,0.2,0.9,heroes\Hero,20,20,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,"healing,eagle_sight","hadagan low shirt.wool,hadagan low pants.wool,hadagan low boots.wool,hadagan low gloves.wool",cheat dagger.bronze,1,0,40,0,0.75,0.75,9,0,0,,3
,Human Hero Hadagan,Human Male,0,0,1,0.35,0.2,0.9,heroes\Hero,20,20,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,,"hadagan low pants.wool,hadagan low boots.wool",saber.bronze,1,0,40,0,0.7,0.7,9,0,0,,3
,Human Mercenary Warrior,Human Male,0,6,2,0.7,0.85,1,heroes\Warrior,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,,"gipat medium shirt.thin,gipat medium gloves.thin,gipat medium plate.thin,gipat medium leggins.thin",stone axe.rock,1,0,40,0,0.7,0.7,9,0,0,stone short bow.rock,3
,Human Mercenary Thief,Human Female,0,12,3,0.4,0.2,0.72,heroes\Thief,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,"healing,prot_fire{e1},arrow{e1}","gipat low plate.thin,gipat low leggins.thin,gipat brigand gloves.tiger hide",stone short bow.granite,1,0,40,0,0.7,0.7,9,0,0,,3
,Human Mercenary Bodyguard,Human Male,0,33,2,0.6,0.2,0.86,heroes\Body,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,,"gipat high boots.thick,gipat high gloves.thick,gipat high pants.thick,gipat high shirt.thin",bone short bow.scrab bones,1,0,40,0,0.7,0.7,9,0,0,,3
,Human Mercenary Shaivar,Human Female,0,19,2,0.4,0.3,0.6,heroes\MercSh,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,"arrow{e1},fireball{e1},strength{d1}","gipat brigand shirt.tiger hide,gipat brigand leggins.tiger hide,gipat brigand gloves.tiger hide",stone dagger.rock,1,0,40,0,0.7,0.7,9,0,0,,3
,Human Mercenary Kania Archer,Human Female,0,20,2,0.37,0.14,1,heroes\Archer,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,,"kania medium shirt.silk red,kania brigand pants.thick,kania brigand boots.thin,kania brigand gloves.thin",short bow.bronze,1,0,40,0,0.7,0.7,9,0,0,,3
,Human Mercenary Kania Thief,Human Male,0,27,0,0.8,1,0.66,heroes\KTheif,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,"lightning {e1;e1;m1},clairvoyence{d1;a1},speed{d1}","kania medium shirt.silk blue,kania brigand pants.tanned thin,kania medium boots.cotton,kania medium gloves.cotton,kania low plate.thick",dagger.bronze,1,0,40,0,0.7,0.7,9,0,0,,3
,Human Mercenary Kania Paladin,Human Male,0,36,2,0.37,0.21,0.85,heroes\Palad,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,,"kania high shirt.troll green,kania medium pants.cotton,kania medium boots.silk blue,kania medium gloves.silk blue,kania high2 leggins.bronze,uniqueingos helm.steel[healing{ic;e1}],uniqueingos plate.steel[strength{ic;d1}]",long sword.steel,1,0,40,0.1,0.8,0.8,9,0,0,,3
