,,,,,,,,
,Name,Experience,Unk2-0,Zone Number,Comment,Money,Record Number,Unk7-0
,FLD0-0,FLD1-0,FLD2-0,FLD3-0,FLD4-0,FLD5-0,FLD6-0,FLD7-0
,dummy,403,0,1,,0,1,
,q0g,40,0,1,Дойти до деревни,0,2,
,q1ag,24,0,3,Убить гоблина-дозорного,0,3,
,q1g,40,0,3,Убить белого волка,0,4,
,q2g,40,0,3,Инструменты мастера,0,5,
,q3g,40,0,3,Убить 5 гоблинов,0,6,
,q4g,70,0,3,Убить и обыскать рыжего разбойника,0,7,
,q5g,100,0,5,Добыть магическую руну,0,8,
,q5dg,100,0,3,Пирамида,0,9,
,dummy,1043,0,1,,0,10,
,q6g,80,0,2,Пройти к Знахарке,0,11,
,q8g,50,0,7,Воткнуть пугало между кострами гоблинов,0,12,
,q7g,50,0,6,Добыть шестеренку,0,13,
,q9g,130,0,7,Принести со свалки бумажку,0,14,
,q10g,160,0,7,Найти магический шар,0,15,
,q11g,160,0,7,Принести орковскую летопись,0,16,
,q12g,160,0,9,Золотое ущелье,0,17,
,q13g,50,0,7,Убить гоблинов и разобраться с разбойниками,0,18,
,q13ag,160,0,7,Убить гоблинов и разобраться с разбойниками,0,19,
,dummy,2520,0,1,,0,20,
,q14g,60,0,8,Добыть букварь орков,0,21,
,q14ag,60,0,8,Амулет драгонкинов,0,22,
,q15ag,60,0,4,Обезопасить часть дороги в горы,0,23,
,q15bg,60,0,6,Поставить большую ракушку,0,24,
,q17g,90,0,9,Горный хрусталь,0,25,
,q18g,150,0,6,Добраться до горной обсерватории,0,26,
,q16g,90,0,4,Открыть доступ к Месторождению мастера (циклоп),0,27,
,q19g,60,0,7,Главная Улика (убегающий орк),0,28,
,q20g,120,0,9,Пройти в мертвый город,0,29,
,q39g,60,0,6,Найти лагерь гоблинов и вещь дочери знахарки,0,30,
,q22g,210,0,5,Драконово задание,0,31,
,dummy,4057,0,1,,0,32,
,q23g,140,0,3,Разобраться с воеводой,0,33,
,q40g,200,0,8,Прийти к орку Шайвару,0,34,
,q40ag,200,0,8,3 брата-огра,0,35,
,q26g,70,0,9,Найти старый лагерь хадаганцев и донесение,0,36,
,q24g,200,0,6,Принести волшебное растение,0,37,
,q41g,400,0,8,Погубить Демона,0,38,
,q25g,200,0,6,Провокация (засада у телеги),0,39,
,q29g,400,0,4,Прийти к Начальнику Хадаганцев,0,40,
,dummy,6531,0,1,,0,41,
,qk9g,100,0,4,Найти бонус у Суккубов,0,42,
