,,,,,,,,,
,Prototype,Required,Optional,Power,Shop 1,Shop 2,Shop 3,Shop 4,Shop 5
,FLD1-0,FLD2-0,FLD3-0,FLD4-0,FLD5-0,FLD5-1,FLD5-2,FLD5-3,FLD5-4
,acid_column,,"r,a,m",e,1,1,1,1,1
,acid_column,"fe,t","r,a,m",e,1,1,1,1,1
,acid_column,fe,"r,a,m",e,1,1,1,1,1
,acid_fog,,"d,r,a,m",e,1,1,1,1,1
,acid_fog,fe,"d,r,a,m",e,1,1,1,1,1
,acid_ray,,"r,m",e,1,1,1,1,1
,acid_ray,"fe,t","r,m",e,1,1,1,1,1
,antimagic,,"d,m",e,1,1,1,1,1
,antimagic,"ff,t","d,m",e,1,1,1,1,1
,arrow,,"r,m",e,1,1,1,1,1
,arrow,"fe,t","r,m",e,1,1,1,1,1
,clairvoyence,,"r,a,m",d,1,1,1,1,1
,clairvoyence,,"d,r,m",a,1,1,1,1,1
,eagle_sight,,m,d,1,1,1,1,1
,eagle_sight,"ff,t",m,d,1,1,1,1,1
,feeblemind,,"r,m",d,1,1,1,1,1
,feeblemind,"fe,t","r,m",d,1,1,1,1,1
,fireball,,"r,a,m",e,1,1,1,1,1
,fireball,"fe,t","r,a,m",e,1,1,1,1,1
,fireball,fe,"r,a,m",e,1,1,1,1,1
,firewall,,"d,r,a,m",e,1,1,1,1,1
,firewall,fe,"d,r,a,m",e,1,1,1,1,1
,fireworks,a,"d,r,a,m",m,1,1,1,1,1
,healing,,m,e,1,1,1,1,1
,healing,"ff,t",m,e,1,1,1,1,1
,infravision,,m,d,1,1,1,1,1
,infravision,"ff,t",m,d,1,1,1,1,1
,inv_lit,,"r,a,m",e,1,1,1,1,1
,inv_lit,"fe,t","r,a,m",e,1,1,1,1,1
,inv_lit,fe,"r,a,m",e,1,1,1,1,1
,invisibility,,m,d,1,1,1,1,1
,invisibility,"ff,t",m,d,1,1,1,1,1
,lightning,,"r,m",e,1,1,1,1,1
,lightning,"fe,t","r,m",e,1,1,1,1,1
,litnwall,,"d,r,a,m",e,1,1,1,1,1
,litnwall,fe,"d,r,a,m",e,1,1,1,1,1
,prot_acid,,"d,m",e,1,1,1,1,1
,prot_acid,"ff,t","d,m",e,1,1,1,1,1
,prot_electro,,"d,m",e,1,1,1,1,1
,prot_electro,"ff,t","d,m",e,1,1,1,1,1
,prot_fire,,"d,m",e,1,1,1,1,1
,prot_fire,"ff,t","d,m",e,1,1,1,1,1
,regeneration,d,"d,m",e,1,1,1,1,1
,regeneration,"ff,t,d","d,m",e,1,1,1,1,1
,silence,,m,d,1,1,1,1,1
,silence,"ff,t",m,d,1,1,1,1,1
,slow,,"d,r,m",e,1,1,1,1,1
,slow,"fe,t","d,r,m",e,1,1,1,1,1
,speed,,"d,m",e,1,1,1,1,1
,speed,"ff,t","d,m",e,1,1,1,1,1
,strength,,m,d,1,1,1,1,1
,strength,"ff,t",m,d,1,1,1,1,1
,stun,,"r,m",d,1,1,1,1,1
,stun,"fe,t","r,m",d,1,1,1,1,1
,teleport,,,,1,1,1,1,1
,vision_fog,,"r,m",m,1,1,1,1,1
,vision_fog,"fe,t","r,m",m,1,1,1,1,1
,weak,,"r,m",d,1,1,1,1,1
,weak,"fe,t","r,m",d,1,1,1,1,1
,,,,,0,0,0,0,0
