,,,,,,,,,
,Prototype,Required,Optional,Power,Shop 1,Shop 2,Shop 3,Shop 4,Shop 5
,FLD1-0,FLD2-0,FLD3-0,FLD4-0,FLD5-0,FLD5-1,FLD5-2,FLD5-3,FLD5-4
,acid_column,"it,fe",,e,1,1,1,1,1
,acid_fog,"it,fe",d,e,1,1,1,1,1
,fireball,"it,fe",,e,1,1,1,1,1
,inv_lit,"it,fe",,e,1,1,1,1,1
,acid_ray,it,,e,1,1,1,1,1
,arrow,it,,e,1,1,1,1,1
,feeblemind,it,,d,1,1,1,1,1
,firewall,it,d,e,1,1,1,1,1
,lightning,it,,e,1,1,1,1,1
,litnwall,it,d,e,1,1,1,1,1
,stun,it,,d,1,1,1,1,1
,weak,it,,,1,1,1,1,1
,weak,"it,d",,,1,1,1,1,1
,weak,"it,d,m",,,1,1,1,1,1
,weak,"it,d,m",m,,1,1,1,1,1
,weak,"it,d,d",,,1,1,1,1,1
,weak,"it,d,d,m",,,1,1,1,1,1
,weak,"it,d,d,m,m",,,1,1,1,1,1
,weak,"it,d,d,m,m",m,,1,1,1,1,1
,,,,,0,0,0,0,0
